User,Role,Mobile,Address,SalaryLevel
Reegan,captain,9999999999,"leon nagar, colachel",1.25
kingson,vice-captain,9999999998,"leon nagar, colachel",1
subal,worker,9999999997,"leon nagar, colachel",1
nijo,worker,9999999996,"leon nagar, colachel",1
joseph,worker,9999999995,colachel,1
starvin,worker,9999999993,colachel,1
miles,worker,9999999992,colachel,1
antony,worker,9999999990,"leon nagar, colachel",1
sathish,worker,9999999989,arokiapuram,1
tharun,worker,9999999988,arokiapuram,1
jenish,worker,9999999987,arokiapuram,1
arun,worker,9999999986,arokiapuram,0.5
